Group,Levels,SubjectID,Run,A_C1W1T0,A_C2W1T0,L_C1W1T0,L_C2W1T0,A_C1W2T0,A_C2W2T0,L_C1W2T0,L_C2W2T0,A_C1W3T0,A_C2W3T0,L_C1W3T0,L_C2W3T0,A_C1W4T0,A_C2W4T0,L_C1W4T0,L_C2W4T0,A_C1W5T0,A_C2W5T0,L_C1W5T0,L_C2W5T0,lC_C1W1T0,cC_C1W1T0,rC_C1W1T0,lC_C1W2T0,cC_C1W2T0,rC_C1W2T0,lC_C1W3T0,cC_C1W3T0,rC_C1W3T0,lC_C1W4T0,cC_C1W4T0,rC_C1W4T0,lC_C1W5T0,cC_C1W5T0,rC_C1W5T0,lC_C2W1T0,cC_C2W1T0,rC_C2W1T0,lC_C2W2T0,cC_C2W2T0,rC_C2W2T0,lC_C2W3T0,cC_C2W3T0,rC_C2W3T0,lC_C2W4T0,cC_C2W4T0,rC_C2W4T0,lC_C2W5T0,cC_C2W5T0,rC_C2W5T0,A_C1W1T2,A_C2W1T2,L_C1W1T2,L_C2W1T2,A_C1W2T2,A_C2W2T2,L_C1W2T2,L_C2W2T2,A_C1W3T2,A_C2W3T2,L_C1W3T2,L_C2W3T2,A_C1W4T2,A_C2W4T2,L_C1W4T2,L_C2W4T2,A_C1W5T2,A_C2W5T2,L_C1W5T2,L_C2W5T2,lC_C1W1T2,cC_C1W1T2,rC_C1W1T2,lC_C1W2T2,cC_C1W2T2,rC_C1W2T2,lC_C1W3T2,cC_C1W3T2,rC_C1W3T2,lC_C1W4T2,cC_C1W4T2,rC_C1W4T2,lC_C1W5T2,cC_C1W5T2,rC_C1W5T2,lC_C2W1T2,cC_C2W1T2,rC_C2W1T2,lC_C2W2T2,cC_C2W2T2,rC_C2W2T2,lC_C2W3T2,cC_C2W3T2,rC_C2W3T2,lC_C2W4T2,cC_C2W4T2,rC_C2W4T2,lC_C2W5T2,cC_C2W5T2,rC_C2W5T2 
control,90_90,21086-2,3,5.48E-06,5.00E-06,1.229508197,11.14754098,3.96E-06,3.86E-06,1.844262295,11.76229508,5.85E-06,6.52E-06,2.581967213,12.54098361,2.84E-06,2.73E-06,3.524590164,13.52459016,6.08E-07,9.42E-07,4.303278689,14.22131148,0.000118773,0.000145617,0.000119528,0.000176834,0.000303895,7.29E-05,0.000109824,0.000185504,0.000118635,7.17E-05,7.40E-05,4.16E-05,2.98E-05,3.53E-05,2.07E-05,0.000142463,0.00016471,0.00010651,0.000166309,0.00030265,7.61E-05,0.000141425,0.00018724,0.000121207,5.82E-05,4.71E-05,2.74E-05,5.94E-06,3.45E-05,2.94E-05,4.59E-06,4.85E-06,1.270491803,11.14754098,5.18E-06,4.82E-06,1.844262295,11.76229508,7.91E-06,8.26E-06,2.62295082,12.54098361,3.46E-06,3.63E-06,3.56557377,13.56557377,6.42E-07,2.72E-07,4.426229508,15.6147541,0.000108737,0.000102755,0.000116618,0.000122214,0.000335571,0.000168433,0.00015135,0.000219911,0.000159868,7.94E-05,9.27E-05,5.75E-05,2.83E-05,4.37E-05,2.59E-05,0.000121643,0.000118628,9.66E-05,0.000118335,0.000347321,0.000172935,0.000146192,0.000246527,0.000193368,6.67E-05,6.87E-05,3.99E-05,2.67E-05,2.49E-05,1.34E-05
control,90_90,21088-4,1,5.70E-06,4.72E-06,1.352459016,11.2704918,5.44E-06,4.75E-06,1.844262295,11.76229508,1.29E-05,1.33E-05,2.540983607,12.5,2.27E-06,1.85E-06,3.483606557,13.68852459,,6.83E-07,4.344262295,14.26229508,6.34E-06,0.000185558,0.000247334,0.0001819,0.000395318,0.000149151,0.000165364,0.00041718,0.000362461,5.25E-05,6.13E-05,2.00E-05,6.13E-05,3.60E-05,8.90E-06,2.52E-05,0.000128892,0.000227699,0.000172511,0.00037998,0.000133913,0.000237228,0.000399061,0.000281842,1.96E-05,6.13E-05,6.86E-05,3.65E-05,4.39E-05,1.53E-05,6.23E-06,5.59E-06,1.229508197,11.10655738,5.31E-06,4.41E-06,1.885245902,11.80327869,1.19E-05,1.18E-05,2.62295082,12.58196721,2.56E-06,1.92E-06,3.56557377,13.81147541,,3.01E-07,4.426229508,14.30327869,0.000150388,7.56E-05,6.15E-05,0.00023974,0.000366285,9.86E-05,0.000192826,0.000372431,0.000292988,9.70E-05,8.62E-05,1.43E-05,3.60E-05,4.65E-06,2.53E-05,0.00016829,0.000156478,3.98E-05,0.000197539,0.000326365,0.000111711,0.000218801,0.000357667,0.000257022,2.17E-05,7.51E-05,7.03E-05,6.87E-06,3.46E-05,1.95E-06
control,90_90,21088-4,2,5.50E-06,4.74E-06,1.352459016,11.2704918,5.37E-06,4.77E-06,1.844262295,11.76229508,1.30E-05,1.30E-05,2.540983607,12.5,2.59E-06,1.97E-06,3.483606557,13.68852459,,5.95E-07,4.385245902,14.26229508,1.94E-05,0.0001986,0.000227679,0.00021833,0.000373692,0.000104784,0.000199002,0.000431257,0.000340893,6.33E-05,6.35E-05,2.17E-05,3.72E-05,2.61E-06,9.21E-06,1.67E-05,0.000145037,0.000220147,0.000202503,0.000361974,9.25E-05,0.000272297,0.000405476,0.000254454,3.78E-05,7.75E-05,6.11E-05,3.71E-05,3.61E-05,1.18E-05,6.13E-06,5.66E-06,1.229508197,11.10655738,5.53E-06,4.38E-06,1.885245902,11.80327869,1.19E-05,1.20E-05,2.62295082,12.58196721,2.01E-06,1.73E-06,3.56557377,13.85245902,,3.18E-07,4.385245902,14.30327869,0.000153668,7.42E-05,6.07E-05,0.000251135,0.000367383,8.80E-05,0.000188878,0.000372573,0.000298122,9.43E-05,8.18E-05,1.28E-05,4.24E-05,2.94E-05,1.71E-05,0.000171942,0.000158403,4.31E-05,0.000203355,0.00032259,0.000105694,0.000224136,0.000348632,0.000246141,3.87E-05,7.23E-05,4.17E-05,3.45E-06,3.36E-05,4.08E-06
control,90_90,21088-4,3,5.61E-06,4.80E-06,1.352459016,11.2704918,5.12E-06,4.77E-06,1.844262295,11.76229508,1.30E-05,1.31E-05,2.540983607,12.45901639,1.92E-06,2.01E-06,3.524590164,13.64754098,,4.40E-07,4.303278689,14.18032787,3.11E-05,0.000213254,0.000218325,0.000242304,0.000360859,7.48E-05,0.000257309,0.000444247,0.000294151,5.65E-05,1.95E-05,4.90E-06,5.71E-05,3.11E-05,4.82E-06,6.99E-06,0.000169797,0.000222263,0.000229724,0.000365272,8.00E-05,0.000169748,0.000385311,0.000332144,3.17E-05,8.20E-05,7.65E-05,2.12E-05,3.70E-05,1.64E-05,6.14E-06,5.75E-06,1.229508197,11.10655738,5.45E-06,4.67E-06,1.885245902,11.80327869,1.23E-05,1.21E-05,2.62295082,12.58196721,1.88E-06,1.52E-06,3.56557377,13.85245902,,4.44E-08,4.344262295,14.75409836,0.000153501,7.11E-05,6.09E-05,0.000267545,0.000371252,7.98E-05,0.000212028,0.000376185,0.000286141,7.65E-05,6.64E-05,1.44E-05,2.50E-05,3.73E-05,1.33E-06,0.000167689,0.000147003,3.78E-05,0.00020458,0.000327686,0.00011453,0.000224712,0.000341796,0.000240289,4.29E-05,6.17E-05,2.94E-05,2.07E-05,2.17E-05,1.03E-06
control,90_90,21089-1,1,7.00E-06,7.39E-06,1.270491803,11.18852459,2.03E-06,2.27E-06,1.926229508,12.25409836,9.05E-06,9.15E-06,2.581967213,12.54098361,5.07E-06,3.90E-06,3.56557377,13.64754098,1.32E-06,1.30E-06,4.385245902,14.30327869,0.000172801,0.000196014,0.000157114,0.000271973,0.000247281,2.58E-05,5.59E-05,0.000175849,0.000186427,5.81E-05,9.39E-05,8.40E-05,5.32E-05,7.21E-05,4.13E-05,0.000212812,0.000204994,0.000129131,0.000105271,5.89E-05,5.11E-05,2.07E-05,0.000171741,0.000212535,5.45E-05,5.89E-05,5.37E-05,9.40E-06,4.06E-05,3.24E-05,7.10E-06,8.56E-06,1.229508197,11.14754098,5.32E-06,7.93E-06,1.885245902,11.80327869,8.94E-06,8.67E-06,2.62295082,12.58196721,3.94E-06,3.17E-06,3.606557377,13.7295082,5.76E-07,6.39E-07,4.631147541,14.46721311,0.000201307,0.000238806,0.000138099,0.000201056,0.000446688,0.000222307,6.81E-05,0.000172619,0.00018465,3.45E-05,5.47E-05,4.72E-05,4.10E-05,2.12E-05,9.57E-06,0.000235442,0.000283091,0.000152,0.000177244,0.00045508,0.000236038,2.86E-06,0.000140551,0.000213494,4.34E-05,5.58E-05,5.83E-05,3.63E-05,3.37E-05,1.05E-05
control,90_90,21089-1,2,6.65E-06,7.48E-06,1.270491803,11.14754098,2.10E-06,2.49E-06,1.885245902,12.21311475,9.16E-06,9.52E-06,2.540983607,12.5,5.03E-06,4.78E-06,3.524590164,13.60655738,1.46E-06,,4.344262295,14.22131148,0.000175782,0.000185412,0.000152632,0.000207625,0.000299145,5.62E-05,2.57E-05,0.000154541,0.000199261,6.74E-05,0.000100567,9.33E-05,5.50E-05,8.04E-05,5.13E-05,0.000194106,0.000233456,0.000160595,9.82E-05,9.70E-05,3.80E-05,1.95E-05,0.000155737,0.000244467,6.17E-05,7.61E-05,6.69E-05,5.56E-06,3.26E-05,4.17E-05,6.97E-06,7.80E-06,1.229508197,11.14754098,5.21E-06,4.80E-06,1.885245902,11.80327869,8.69E-06,8.59E-06,2.62295082,12.58196721,3.68E-06,3.15E-06,3.606557377,13.7295082,9.40E-07,7.75E-07,4.590163934,14.46721311,0.000192742,0.000232221,0.000140083,0.000209346,0.000433503,0.000198965,7.68E-05,0.000189682,0.000190274,3.48E-05,4.39E-05,4.07E-05,4.68E-05,3.43E-05,1.67E-05,0.000230355,0.000269752,0.000145548,0.000194029,0.000454149,0.00021677,3.95E-06,0.000163065,0.000226152,4.99E-05,6.28E-05,5.94E-05,3.74E-05,3.07E-05,7.16E-06
control,90_90,21089-1,3,7.17E-06,7.79E-06,1.270491803,11.14754098,1.99E-06,2.40E-06,1.885245902,12.21311475,9.23E-06,9.60E-06,2.540983607,12.5,5.14E-06,4.54E-06,3.524590164,13.60655738,5.82E-06,1.29E-06,5.614754098,14.22131148,0.000185377,0.000188649,0.000153841,0.000249895,0.00027804,6.77E-06,4.92E-05,0.000181798,0.000206302,8.57E-05,0.000108648,9.15E-05,3.21E-05,2.94E-05,7.52E-06,0.000205675,0.000234269,0.000159508,0.000124387,7.79E-05,5.78E-05,1.33E-05,0.000187571,0.000233888,8.06E-05,0.000101852,7.42E-05,9.85E-06,4.34E-05,4.04E-05,7.21E-06,7.66E-06,1.229508197,11.14754098,5.26E-06,4.49E-06,1.885245902,11.80327869,8.76E-06,8.93E-06,2.62295082,12.58196721,3.72E-06,3.05E-06,3.606557377,13.7295082,8.05E-07,1.99E-07,4.631147541,14.54918033,0.000201899,0.000230692,0.000131434,0.000217715,0.00043346,0.00019033,7.72E-05,0.00018403,0.000184028,3.29E-05,5.28E-05,4.72E-05,4.18E-05,2.67E-05,1.15E-05,0.00023622,0.000274617,0.00014147,0.000198247,0.000444847,0.000201156,2.40E-05,0.000168087,0.000212634,4.71E-05,5.51E-05,5.30E-05,3.27E-05,1.62E-05,6.09E-07
control,90_90,21089-2,1,5.35E-06,5.50E-06,1.352459016,11.2295082,2.64E-06,1.16E-06,1.967213115,12.13114754,9.65E-06,9.22E-06,2.62295082,12.58196721,2.68E-06,4.70E-06,3.647540984,13.81147541,,,4.426229508,,0.000102167,0.000132892,0.000153945,0.000204018,0.000138665,2.49E-06,0.000146865,0.000232239,0.000126283,4.98E-05,4.46E-05,1.80E-05,1.37E-05,2.83E-05,1.23E-05,0.000108409,8.20E-05,0.000118502,2.65E-05,9.66E-05,4.62E-05,0.000135166,0.000261643,0.000156495,5.92E-05,8.85E-05,8.54E-05,,,,8.10E-06,8.17E-06,1.270491803,11.18852459,4.10E-06,3.72E-06,1.967213115,11.8852459,6.10E-06,7.40E-06,2.745901639,12.70491803,4.09E-06,3.01E-06,3.729508197,13.81147541,7.01E-07,1.23E-06,4.590163934,14.50819672,0.000194396,0.000218193,0.000151368,0.000259214,0.000282226,2.42E-05,0.000111995,0.00017315,0.0001093,0.000114094,0.000123615,6.48E-05,3.57E-05,2.50E-05,1.41E-05,0.000219263,0.000228884,0.000128642,0.000233917,0.000291924,5.34E-05,0.000145978,0.000245753,0.000145373,4.27E-05,3.95E-05,3.85E-05,2.08E-05,4.36E-05,2.54E-05
control,90_90,21089-2,2,5.94E-06,5.73E-06,1.352459016,11.2704918,2.40E-06,1.40E-06,1.967213115,11.8852459,9.84E-06,1.00E-05,2.62295082,12.58196721,2.56E-06,4.71E-06,3.68852459,13.81147541,,,4.426229508,,0.000107105,0.00013571,0.000158904,0.000194826,0.000144689,1.06E-05,0.00013239,0.000243483,0.000144427,5.14E-05,4.48E-05,2.03E-05,1.48E-05,3.86E-05,2.15E-05,0.000100427,0.000106146,0.000153974,0.00021907,0.00016891,2.90E-05,0.000107306,0.000263231,0.000180979,5.76E-05,8.23E-05,8.39E-05,,,,8.13E-06,8.30E-06,1.270491803,11.18852459,4.03E-06,3.78E-06,1.967213115,11.8852459,6.06E-06,7.49E-06,2.745901639,12.70491803,3.98E-06,2.94E-06,3.729508197,13.81147541,7.34E-07,9.73E-07,4.590163934,14.50819672,0.000187111,0.000214065,0.00015364,0.000258854,0.000280224,2.10E-05,0.000107388,0.000169613,0.000108594,0.000116516,0.000116403,5.27E-05,2.88E-05,2.10E-05,1.57E-05,0.000207827,0.000220039,0.000130132,0.000226911,0.000294144,6.27E-05,0.000146438,0.000242577,0.000139604,4.61E-05,4.64E-05,4.26E-05,1.55E-05,3.46E-05,2.27E-05
control,90_90,21089-2,3,6.82E-06,7.02E-06,1.31147541,11.2295082,2.70E-06,1.95E-06,2.008196721,11.8852459,9.52E-06,9.34E-06,2.62295082,12.62295082,3.09E-06,,3.68852459,13.85245902,9.51E-07,,4.385245902,,0.000115645,0.000145503,0.000174636,0.00021657,8.71E-05,5.88E-06,9.92E-05,0.000252581,0.000179534,5.48E-05,5.31E-05,2.37E-05,1.92E-05,1.98E-05,2.86E-05,0.00013682,0.000118666,0.000137094,0.000219057,0.000171529,2.73E-05,0.000202573,0.000263925,0.000120043,7.54E-05,8.22E-05,6.24E-05,,,,8.17E-06,8.06E-06,1.270491803,11.18852459,4.19E-06,3.75E-06,1.967213115,11.8852459,6.40E-06,7.94E-06,2.745901639,12.70491803,3.67E-06,3.12E-06,3.729508197,13.81147541,8.20E-07,1.04E-06,4.590163934,14.50819672,0.0001914,0.000214593,0.000149576,0.000272707,0.000284297,9.79E-06,9.31E-05,0.00017247,0.000124673,0.000107775,0.000114908,6.29E-05,2.49E-05,2.69E-05,2.55E-05,0.00021005,0.000217318,0.000125764,0.000236754,0.000289749,5.37E-05,0.000145309,0.000245108,0.000146555,4.27E-05,4.22E-05,4.15E-05,1.30E-05,3.08E-05,2.08E-05
control,90_90,21090-1,1,1.08E-05,1.09E-05,1.229508197,11.10655738,3.68E-06,3.93E-06,1.885245902,11.80327869,1.04E-05,1.10E-05,2.62295082,12.54098361,5.42E-06,5.64E-06,3.56557377,13.68852459,6.39E-07,5.17E-07,5.491803279,15.57377049,0.00019035,0.000225016,0.000238642,0.00028367,0.000300453,1.30E-05,0.000254702,0.000340237,0.000182072,0.000136325,8.35E-05,3.82E-05,4.28E-05,1.96E-05,4.89E-06,0.000201799,0.0002744,0.00021356,0.000315586,0.000346433,2.04E-05,0.000146251,0.00024299,0.000233044,5.20E-07,4.29E-05,5.50E-05,5.19E-06,2.29E-06,9.58E-06,1.16E-05,1.09E-05,1.270491803,11.14754098,8.46E-06,1.00E-05,1.967213115,11.8852459,1.73E-05,1.60E-05,2.745901639,12.70491803,5.67E-06,3.12E-06,3.81147541,13.97540984,,,,,0.000249252,0.000179541,0.000143776,0.000384409,0.000596499,0.000234279,0.000237357,0.000510416,0.000431917,0.000132611,0.000118959,6.93E-05,,,,0.000265576,0.000325733,0.000149878,0.000355371,0.000664013,0.000334881,0.000131393,0.000258224,0.000321849,4.46E-05,6.62E-05,6.74E-05,,,
control,90_90,21090-1,2,1.12E-05,1.05E-05,1.229508197,11.14754098,3.73E-06,3.75E-06,1.885245902,11.80327869,1.04E-05,1.13E-05,2.62295082,12.58196721,5.82E-06,5.91E-06,3.56557377,13.68852459,8.35E-07,7.13E-07,5.491803279,15.53278689,0.000196145,0.00022811,0.000239196,0.000279001,0.000314737,2.35E-05,0.000233938,0.000345213,0.000212694,0.000143031,8.85E-05,3.82E-05,3.88E-05,2.01E-05,1.05E-05,0.000263807,0.000248925,0.000174073,0.000301556,0.000351759,3.78E-05,0.000189296,0.000248299,0.000206697,1.17E-06,4.04E-05,5.57E-05,1.55E-05,1.22E-05,1.03E-05,1.16E-05,1.10E-05,1.270491803,11.14754098,8.56E-06,1.02E-05,1.967213115,11.8852459,1.72E-05,1.60E-05,2.745901639,12.70491803,5.87E-06,3.19E-06,3.770491803,13.93442623,,,,,0.000255236,0.000186385,0.000149222,0.00042091,0.000594977,0.000196787,0.000257279,0.000514829,0.000414826,0.000120324,0.000132709,7.81E-05,,,,0.000280396,0.000329028,0.000144724,0.000397272,0.000661634,0.000296435,0.000136768,0.000265759,0.000326274,4.24E-05,6.52E-05,7.88E-05,,,
control,90_90,21090-1,3,1.14E-05,1.08E-05,1.229508197,11.14754098,3.67E-06,3.98E-06,1.885245902,11.80327869,1.12E-05,1.21E-05,2.62295082,12.58196721,6.38E-06,6.27E-06,3.56557377,13.68852459,7.66E-07,,5.573770492,,0.000202326,0.000244351,0.000252155,0.000275926,0.000324596,3.43E-05,0.000218946,0.000358499,0.000247628,0.000148518,9.51E-05,3.76E-05,2.19E-05,1.59E-05,1.65E-05,0.000264563,0.000258196,0.000184148,0.000286363,0.000369274,6.85E-05,0.000177936,0.000248185,0.000227021,7.13E-06,3.19E-05,5.67E-05,,,,1.19E-05,1.11E-05,1.270491803,11.14754098,8.16E-06,1.00E-05,1.967213115,11.8852459,1.64E-05,1.62E-05,2.745901639,12.70491803,5.74E-06,3.13E-06,3.770491803,13.97540984,,,,,0.000257087,0.000190463,0.000161576,0.000438294,0.000577831,0.000164,0.000289283,0.000525076,0.000395801,0.000129944,0.000127977,7.27E-05,,,,0.000289639,0.00032363,0.00013445,0.000426118,0.000657165,0.000265951,0.000153141,0.000270591,0.000319009,4.63E-05,7.73E-05,7.61E-05,,,
control,90_90,21090-2,1,6.66E-06,6.55E-06,1.270491803,11.14754098,2.62E-06,2.48E-06,1.885245902,11.80327869,9.17E-06,9.22E-06,2.581967213,12.5,2.57E-06,2.35E-06,3.483606557,13.7704918,3.70E-06,4.37E-07,5.655737705,14.3442623,0.000173753,0.000162054,0.000118486,0.000102722,0.00027064,0.000106186,0.000147897,0.000278136,0.00017796,0.000101482,9.42E-05,4.07E-05,3.76E-05,2.88E-05,7.03E-06,0.000178217,0.000191299,9.84E-05,7.87E-05,0.000256556,0.000115119,0.000103965,0.000190636,0.000172642,1.75E-05,5.04E-05,4.88E-05,5.34E-06,2.34E-05,1.54E-05,4.91E-06,4.99E-06,1.18852459,11.10655738,7.20E-06,7.78E-06,1.885245902,11.80327869,1.09E-05,1.05E-05,2.62295082,12.54098361,3.28E-06,4.53E-07,3.56557377,13.89344262,4.54E-08,,4.590163934,,0.000195239,0.000190161,3.41E-05,0.000263885,0.000450653,0.000146132,0.000254738,0.000371836,0.000212844,8.09E-05,0.000123316,7.96E-05,3.52E-05,1.38E-05,7.38E-06,0.000224028,0.00024285,5.57E-05,0.000206947,0.000404261,0.000195432,0.00020474,0.000236008,0.000154996,7.52E-06,2.71E-05,1.37E-05,,,
control,90_90,21090-2,2,6.43E-06,6.63E-06,1.270491803,11.14754098,2.88E-06,2.53E-06,1.885245902,11.80327869,8.96E-06,9.23E-06,2.581967213,12.5,2.96E-06,2.24E-06,3.483606557,13.7295082,4.13E-07,4.04E-07,4.426229508,14.3442623,0.000169134,0.000152845,0.000114037,0.000115985,0.000269477,9.86E-05,0.000164065,0.000279487,0.000165018,9.68E-05,8.71E-05,4.37E-05,2.44E-05,3.20E-05,1.05E-05,0.000168838,0.000184604,0.000104778,9.65E-05,0.000263038,0.000107264,0.000108923,0.000207397,0.000183073,9.29E-06,4.34E-05,5.38E-05,1.06E-05,2.18E-05,1.36E-05,5.26E-06,5.10E-06,1.18852459,11.10655738,7.33E-06,7.85E-06,1.844262295,11.80327869,1.08E-05,1.06E-05,2.581967213,12.5,3.08E-06,7.02E-07,3.56557377,13.81147541,1.18E-07,,4.508196721,,0.000199264,0.000180966,3.08E-05,9.50E-05,0.000440289,0.000307076,0.000173122,0.000375811,0.00028879,9.80E-05,0.000119238,5.65E-05,5.35E-05,3.58E-05,5.22E-06,0.000229362,0.000231671,4.75E-05,0.000245714,0.000399682,0.000158973,0.000164356,0.00024663,0.000198726,1.15E-05,2.03E-05,3.19E-05,,,
control,90_90,21090-2,3,6.34E-06,6.46E-06,1.270491803,11.14754098,2.80E-06,2.52E-06,1.885245902,11.80327869,8.82E-06,9.76E-06,2.581967213,12.5,2.94E-06,2.63E-06,3.483606557,13.68852459,3.29E-06,5.68E-07,5.614754098,15.6147541,0.000163382,0.00014831,0.000116778,0.000122622,0.000268356,9.65E-05,0.0001728,0.000281619,0.000164213,0.000100942,9.37E-05,4.15E-05,3.42E-05,2.95E-05,7.98E-06,0.000169529,0.000181508,0.000102842,0.000102366,0.000261406,0.000104365,0.000113642,0.000207914,0.00018339,1.40E-06,3.14E-05,5.55E-05,2.20E-05,2.34E-05,1.52E-05,5.31E-06,4.68E-06,1.18852459,11.06557377,7.71E-06,7.95E-06,1.844262295,11.76229508,1.16E-05,1.14E-05,2.581967213,12.5,3.38E-06,5.89E-07,3.524590164,13.56557377,1.38E-07,,4.508196721,13.81147541,0.000205549,0.000184067,3.64E-05,0.000143751,0.000446704,0.000265824,0.000217611,0.000399803,0.00027675,8.52E-05,0.000131776,7.79E-05,4.98E-05,2.42E-05,8.21E-07,0.000140645,0.000265848,0.000144151,0.000101701,0.000382766,0.000290612,0.000198738,0.00025637,0.00018256,5.69E-05,2.57E-05,1.15E-05,8.57E-06,2.13E-05,2.75E-05
control,90_90,21091-2,1,6.68E-06,6.50E-06,1.229508197,11.10655738,,4.78E-06,1.844262295,11.72131148,7.50E-06,8.58E-06,2.540983607,12.5,4.36E-06,3.19E-06,3.524590164,13.56557377,1.54E-06,8.82E-07,4.303278689,14.13934426,0.0002071,0.000201165,9.58E-05,0.000262449,0.000436494,0.000109067,5.76E-05,0.000216809,0.000192394,8.79E-05,0.000106453,9.30E-05,6.10E-05,6.83E-05,3.87E-05,0.000167327,0.000258445,0.000152917,6.46E-05,0.000387611,0.000253599,9.65E-05,0.000238489,0.000180143,5.25E-05,7.27E-05,6.93E-05,1.32E-05,2.95E-05,2.12E-05,9.63E-06,8.84E-06,1.270491803,11.14754098,6.09E-06,4.35E-06,1.885245902,11.80327869,9.37E-06,1.14E-05,2.663934426,12.62295082,6.28E-06,4.71E-06,3.606557377,13.68852459,1.20E-06,4.35E-07,4.467213115,14.3442623,0.000233559,0.000237368,0.000190839,0.000260066,0.000493018,0.000188752,0.000126334,0.000273191,0.000214301,0.000121367,0.000142371,0.000134591,7.04E-05,9.01E-05,4.20E-05,0.000201033,0.000263578,0.000185808,0.000204044,0.000424721,0.000170229,0.000120047,0.000292292,0.000267704,0.00010204,0.000129365,0.000102452,3.80E-05,4.38E-05,1.57E-05
control,90_90,21091-2,2,7.15E-06,6.62E-06,1.229508197,11.10655738,,4.80E-06,1.803278689,11.72131148,7.98E-06,8.79E-06,2.540983607,12.5,4.50E-06,3.10E-06,3.483606557,13.52459016,1.70E-06,8.76E-07,4.262295082,14.13934426,0.000204611,0.000205481,0.00010799,7.73E-05,0.000425875,0.000284447,9.14E-05,0.000238239,0.000181059,8.36E-05,0.000107031,0.000107065,6.21E-05,8.54E-05,5.81E-05,0.000170532,0.000253297,0.000151277,9.29E-05,0.000388963,0.000223512,0.000135362,0.000241821,0.000155787,5.54E-05,7.39E-05,7.70E-05,2.07E-05,3.47E-05,2.16E-05,9.59E-06,8.78E-06,1.270491803,11.14754098,5.92E-06,4.44E-06,1.885245902,11.80327869,9.69E-06,1.13E-05,2.663934426,12.62295082,6.01E-06,5.07E-06,3.606557377,13.64754098,1.05E-06,3.73E-07,4.467213115,14.3442623,0.000226154,0.000236975,0.00019531,0.00027999,0.000474911,0.000152401,0.000149872,0.000289088,0.00021218,0.000123166,0.000146928,0.000134905,7.53E-05,8.43E-05,2.80E-05,0.000207135,0.000264478,0.000182613,0.000229352,0.000416978,0.000142359,0.000140828,0.000299974,0.000260313,9.78E-05,0.000134941,0.000122362,2.94E-05,3.56E-05,1.65E-05
control,90_90,21091-2,3,6.85E-06,6.51E-06,1.18852459,11.10655738,,4.95E-06,1.803278689,11.72131148,8.13E-06,8.67E-06,2.540983607,12.5,4.40E-06,3.22E-06,3.483606557,13.52459016,1.83E-06,4.01E-07,4.262295082,15.6147541,0.000148635,0.000229239,0.000155117,0.000129894,0.000445388,0.000245724,0.00012733,0.000253713,0.000166306,9.36E-05,0.000107659,9.47E-05,7.65E-05,8.77E-05,4.64E-05,0.000178003,0.000245263,0.000139324,0.000141126,0.000402441,0.000179789,0.000177785,0.000244096,0.000127736,6.25E-05,8.18E-05,7.27E-05,2.15E-05,1.71E-05,9.17E-06,9.54E-06,8.88E-06,1.270491803,11.14754098,5.90E-06,4.52E-06,1.885245902,11.80327869,1.01E-05,1.16E-05,2.663934426,12.62295082,6.16E-06,5.01E-06,3.606557377,13.64754098,1.04E-06,2.88E-07,4.426229508,14.3442623,0.00023283,0.000245764,0.000200391,0.000317742,0.000468806,0.000120131,0.000174668,0.000290601,0.000196282,0.000122402,0.000145611,0.000133297,6.14E-05,9.53E-05,5.18E-05,0.000207608,0.000261521,0.000185986,0.000255926,0.000410304,0.000116875,0.000153339,0.000306091,0.000260276,0.000114521,0.000143942,0.000113341,3.53E-05,3.22E-05,4.36E-06
control,90_90,21092-3,1,6.49E-06,6.49E-06,1.229508197,11.14754098,6.14E-06,5.04E-06,1.926229508,11.8442623,1.02E-05,9.71E-06,2.704918033,12.66393443,5.29E-06,,3.647540984,13.81147541,2.37E-07,,4.467213115,,0.000181057,0.000185489,8.75E-05,0.000235693,0.000340035,7.39E-05,0.000157636,0.000296414,0.000233325,0.000139299,0.000137229,7.35E-05,2.15E-05,2.47E-05,1.78E-06,0.000244204,0.000232712,7.16E-05,0.000251643,0.000347484,7.56E-05,0.000128944,0.000250959,0.000236061,2.91E-05,5.36E-05,5.38E-05,,,,6.53E-06,6.31E-06,1.229508197,11.10655738,6.81E-06,6.42E-06,1.844262295,11.76229508,1.06E-05,1.08E-05,2.663934426,12.62295082,5.01E-06,3.17E-06,3.56557377,13.68852459,,,4.344262295,,0.000233542,0.000210761,9.50E-05,0.000152557,0.000408489,0.000233709,0.000164041,0.00028926,0.000218818,0.000132879,0.000140191,8.25E-05,3.67E-05,4.10E-05,5.84E-07,0.000223061,0.000323592,0.000161505,0.000128433,0.000369757,0.000254311,8.74E-05,0.00024946,0.000259247,4.76E-05,6.04E-05,5.94E-05,,,
